"institute_id","institute_name"
"1","Agriculture and Biology Institute"
"2","Engneering Researches Institute"
"3","Environmental Sciences Institute"
"4","Food Industries and Nutritions Institute"
"5","Genetic Engneering and Biotechnology Institute"
"6","Human Genetics and genome research Institute"
"7","Inorganic Chemical Industries and Mineral Resources Institute"
"8","Medical Sciences Institute"
"9","Oral Medicine and Dentistry Institute"
"10","Pharmaceutical Industries Institute"
"11","Physics Institute"
"12","Textile Industries Institute"
"13","Veterinary Research Institute"
